"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-01","1976","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-02","1976","02","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-03","1976","03","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-04","1976","04","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-05","1976","05","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-06","1976","06","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-07","1976","07","","M","","M","","M","28.3","","8.9","","","M","","M","","M","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-08","1976","08","24.1","","13.6","","18.9","","31.1","","5.0","","47.0","","0.0","","47.0","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-09","1976","09","18.9","","9.5","","14.2","","26.1","S","2.8","","63.5","","0.0","","63.5","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-10","1976","10","11.0","","2.4","","6.7","","21.7","S","-6.1","","96.5","","0.0","T","96.5","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-11","1976","11","4.1","","-2.6","","0.8","","14.4","","-10.0","","21.3","","8.4","","29.7","","0","T","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1976-12","1976","12","-4.1","","-15.1","","-9.6","","5.0","S","-27.8","","29.5","","58.9","","88.4","","23","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-01","1977","01","-7.6","","-18.2","","-12.9","","-0.6","","-33.9","","0.0","","79.2","","79.2","","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-02","1977","02","-1.9","","-11.5","","-6.7","","11.1","","-28.3","","27.4","","16.8","","44.2","","33","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-03","1977","03","7.3","","-2.7","","2.3","","26.1","","-10.0","","72.0","","55.1","","127.1","","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-04","1977","04","13.2","","0.8","","7.0","","24.4","","-10.0","","70.3","","7.7","","78.0","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-05","1977","05","21.5","","7.6","","14.6","","29.4","","-1.1","","42.6","","0.0","T","42.6","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-06","1977","06","22.6","","11.5","","17.1","","30.0","","3.3","","27.7","","0.0","","27.7","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-07","1977","07","27.1","","15.9","","21.5","","33.5","","7.5","","42.1","","0.0","","42.1","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-08","1977","08","23.8","","14.5","","19.2","","29.5","S","7.5","S","142.2","","0.0","","142.2","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-09","1977","09","18.8","","11.7","","15.3","","28.5","","5.5","","94.6","","0.0","","94.6","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-10","1977","10","12.8","","3.7","","8.3","","20.0","","-4.0","","82.6","","0.0","","82.6","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-11","1977","11","7.3","","0.3","","3.8","","20.5","","-13.0","","102.4","","30.0","","132.4","","18","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1977-12","1977","12","-2.0","","-10.6","","-6.3","","10.0","","-29.0","","31.4","","129.6","","161.0","","55","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-01","1978","01","-6.0","","-16.7","","-11.4","","6.5","","-30.0","","97.4","","130.6","","228.0","","58","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-02","1978","02","-5.2","","-20.4","","-12.8","","0.5","","-34.5","","0.0","","18.9","","18.9","","59","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-03","1978","03","1.3","","-10.0","","-4.4","","7.5","","-26.5","","47.4","","32.4","","79.8","","35","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-04","1978","04","8.9","","-1.3","","3.8","","17.5","","-8.0","","57.6","","0.4","","58.0","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-05","1978","05","20.6","","8.2","","14.4","","32.0","","-2.5","","39.2","","0.0","T","39.2","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-06","1978","06","23.1","","12.1","","17.6","","29.5","S","5.5","","38.8","","0.0","","38.8","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-07","1978","07","27.3","","15.2","","21.3","","33.5","","8.5","","40.8","","0.0","","40.8","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-08","1978","08","25.7","","15.1","","20.4","","33.0","","9.5","","80.6","","0.0","","80.6","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-09","1978","09","19.3","","8.4","","13.9","","27.0","","-0.5","","58.8","","0.0","","58.8","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-10","1978","10","12.4","","4.4","","8.4","","23.0","","-4.5","S","60.8","","0.0","T","60.8","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-11","1978","11","6.5","","-2.4","","2.1","","16.5","","-12.5","","73.8","","13.4","","87.2","","7","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1978-12","1978","12","0.5","","-8.4","","-4.0","","9.0","S","-25.5","","51.0","","45.8","","96.8","","18","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-01","1979","01","-4.4","","-12.8","","-8.6","","8.0","","-32.5","","40.4","","108.8","","149.2","","35","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-02","1979","02","-7.8","","-20.0","","-13.9","","7.0","S","-38.0","","12.4","","30.2","","42.6","","43","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-03","1979","03","6.7","","-3.7","","1.5","","21.0","","-16.0","","42.8","","3.0","","45.8","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-04","1979","04","11.4","","1.6","","6.5","","23.5","","-5.5","","84.5","","23.5","","108.0","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-05","1979","05","18.7","","8.2","","13.5","","28.5","S","1.5","","102.2","","0.0","","102.2","","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-06","1979","06","23.6","","12.0","","17.8","","28.5","S","5.5","","22.2","","0.0","","22.2","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-07","1979","07","27.7","","15.2","","21.5","","34.0","","8.0","S","99.2","","0.0","","99.2","","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-08","1979","08","23.8","","14.3","","19.1","","29.5","","6.0","","80.2","","0.0","","80.2","","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-09","1979","09","20.5","","10.1","","15.3","","28.0","S","0.5","","153.0","","0.0","","153.0","","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-10","1979","10","12.7","","5.4","","9.1","","25.5","","-2.0","","107.0","","2.6","","109.6","","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-11","1979","11","8.9","","1.9","","5.4","","19.0","","-8.0","","96.8","","0.0","T","96.8","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1979-12","1979","12","1.3","","-6.1","","-2.4","","13.5","","-19.0","","58.2","","9.6","","67.8","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1980-01","1980","01","-2.7","","-11.8","","-7.3","","10.0","","-26.5","","39.2","","18.8","","58.0","","8","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1980-02","1980","02","-4.1","","-15.4","","-9.8","","8.5","","-24.5","","0.0","T","26.2","","26.2","","13","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1980-03","1980","03","3.1","","-8.0","","-2.5","","13.0","","-32.5","","89.6","","40.2","","129.8","","0","","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1980-04","1980","04","12.1","","1.9","","7.0","","20.0","S","-5.5","S","175.4","","0.0","T","175.4","","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1980-05","1980","05","19.7","","7.8","","13.8","","27.5","","2.5","S","41.8","","0.0","","41.8","","","M","","","",""
"-76.08","44.52","LYNDHURST SHAWMERE","6104725","1980-06","1980","06","20.8","","10.1","","15.5","","29.5","","1.0","","64.8","","0.0","","64.8","","","M","","","",""
