"","Year","Species","Location","Count"
"1",1973,"American Black Duck","Lake Huron- Georgian Bay",117
"2",1974,"American Black Duck","Lake Huron- Georgian Bay",569
"3",1996,"American Black Duck","Lake Huron- Georgian Bay",141
